file,url,page,time_period,unit,subject
bulletin_3T25.pdf,https://www.stat-niger.org/wp-content/uploads/annuaire_bulletin/bulletin/Bulletin_trimestriel_de_statistique_3T25_vf.pdf,21,2024/2025,,Campagne agricole
bulletin_1T24.pdf,https://www.stat-niger.org/wp-content/uploads/annuaire_bulletin/bulletin/Bulletin_trimestriel_de_statistique_1T24_vf.pdf,24,2023/2024,,Campagne agricole
