REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,EXTRACTION_METHOD,SOURCE,REF_AREA_LABEL,INDICATOR_LABEL,DATA_DATE
NE-8,SORGHUM_AREA_HA,2024/2025,508.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Sorgho / Superficie,2026-09-14
_T,SORGHUM_AREA_HA,2024/2025,3428663.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Sorgho / Superficie,2026-09-14
NE-1,SORGHUM_YIELD_KG_HA,2024/2025,488.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Sorgho / Rendement,2026-09-14
NE-2,SORGHUM_YIELD_KG_HA,2024/2025,331.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Sorgho / Rendement,2026-09-14
NE-3,SORGHUM_YIELD_KG_HA,2024/2025,489.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Sorgho / Rendement,2026-09-14
NE-4,SORGHUM_YIELD_KG_HA,2024/2025,644.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Sorgho / Rendement,2026-09-14
NE-5,SORGHUM_YIELD_KG_HA,2024/2025,711.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Sorgho / Rendement,2026-09-14
NE-6,SORGHUM_YIELD_KG_HA,2024/2025,427.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Sorgho / Rendement,2026-09-14
NE-7,SORGHUM_YIELD_KG_HA,2024/2025,481.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Sorgho / Rendement,2026-09-14
NE-8,SORGHUM_YIELD_KG_HA,2024/2025,693.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Sorgho / Rendement,2026-09-14
_T,SORGHUM_YIELD_KG_HA,2024/2025,556.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Sorgho / Rendement,2026-09-14
NE-1,SORGHUM_PROD_T,2024/2025,147.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Sorgho / Production,2026-09-14
NE-2,SORGHUM_PROD_T,2024/2025,8816.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Sorgho / Production,2026-09-14
NE-3,SORGHUM_PROD_T,2024/2025,168389.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Sorgho / Production,2026-09-14
NE-4,SORGHUM_PROD_T,2024/2025,645912.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Sorgho / Production,2026-09-14
NE-5,SORGHUM_PROD_T,2024/2025,358435.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Sorgho / Production,2026-09-14
NE-6,SORGHUM_PROD_T,2024/2025,157597.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Sorgho / Production,2026-09-14
NE-7,SORGHUM_PROD_T,2024/2025,567772.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Sorgho / Production,2026-09-14
NE-8,SORGHUM_PROD_T,2024/2025,352.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Sorgho / Production,2026-09-14
_T,SORGHUM_PROD_T,2024/2025,1907420.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Sorgho / Production,2026-09-14
NE-2,RICE_AREA_HA,2024/2025,4065.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Riz / Superficie,2026-09-14
NE-3,RICE_AREA_HA,2024/2025,6702.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Riz / Superficie,2026-09-14
NE-4,RICE_AREA_HA,2024/2025,1213.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Riz / Superficie,2026-09-14
NE-5,RICE_AREA_HA,2024/2025,2047.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Riz / Superficie,2026-09-14
NE-6,RICE_AREA_HA,2024/2025,11473.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Riz / Superficie,2026-09-14
NE-7,RICE_AREA_HA,2024/2025,7556.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Riz / Superficie,2026-09-14
_T,RICE_AREA_HA,2024/2025,33056.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Riz / Superficie,2026-09-14
NE-2,RICE_YIELD_KG_HA,2024/2025,1319.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Riz / Rendement,2026-09-14
NE-3,RICE_YIELD_KG_HA,2024/2025,2064.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Riz / Rendement,2026-09-14
NE-4,RICE_YIELD_KG_HA,2024/2025,1801.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Riz / Rendement,2026-09-14
