REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,EXTRACTION_METHOD,SOURCE,REF_AREA_LABEL,INDICATOR_LABEL,DATA_DATE
NE-7,SESAME_YIELD_KG_HA,2024/2025,552.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Sésame / Rendement,2026-09-14
NE-8,SESAME_YIELD_KG_HA,2024/2025,488.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Sésame / Rendement,2026-09-14
_T,SESAME_YIELD_KG_HA,2024/2025,566.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Sésame / Rendement,2026-09-14
NE-2,SESAME_PROD_T,2024/2025,22204.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Sésame / Production,2026-09-14
NE-3,SESAME_PROD_T,2024/2025,3639.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Sésame / Production,2026-09-14
NE-4,SESAME_PROD_T,2024/2025,28718.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Sésame / Production,2026-09-14
NE-5,SESAME_PROD_T,2024/2025,2471.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Sésame / Production,2026-09-14
NE-6,SESAME_PROD_T,2024/2025,5016.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Sésame / Production,2026-09-14
NE-7,SESAME_PROD_T,2024/2025,78935.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Sésame / Production,2026-09-14
NE-8,SESAME_PROD_T,2024/2025,42.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Sésame / Production,2026-09-14
_T,SESAME_PROD_T,2024/2025,141025.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Sésame / Production,2026-09-14
NE-3,TIGER_NUT_AREA_HA,2024/2025,242.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Souchet / Superficie,2026-09-14
NE-4,TIGER_NUT_AREA_HA,2024/2025,24365.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Souchet / Superficie,2026-09-14
NE-6,TIGER_NUT_AREA_HA,2024/2025,35.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Souchet / Superficie,2026-09-14
_T,TIGER_NUT_AREA_HA,2024/2025,24642.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Souchet / Superficie,2026-09-14
NE-3,TIGER_NUT_YIELD_KG_HA,2024/2025,3017.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Souchet / Rendement,2026-09-14
NE-4,TIGER_NUT_YIELD_KG_HA,2024/2025,2934.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Souchet / Rendement,2026-09-14
NE-6,TIGER_NUT_YIELD_KG_HA,2024/2025,1257.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Souchet / Rendement,2026-09-14
_T,TIGER_NUT_YIELD_KG_HA,2024/2025,2932.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Souchet / Rendement,2026-09-14
NE-3,TIGER_NUT_PROD_T,2024/2025,730.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Souchet / Production,2026-09-14
NE-4,TIGER_NUT_PROD_T,2024/2025,71479.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Souchet / Production,2026-09-14
NE-6,TIGER_NUT_PROD_T,2024/2025,44.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Souchet / Production,2026-09-14
_T,TIGER_NUT_PROD_T,2024/2025,72253.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Souchet / Production,2026-09-14
NE-2,BAMBARA_NUT_AREA_HA,2024/2025,503.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Voandzou / Superficie,2026-09-14
NE-3,BAMBARA_NUT_AREA_HA,2024/2025,57818.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Voandzou / Superficie,2026-09-14
NE-4,BAMBARA_NUT_AREA_HA,2024/2025,4710.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Voandzou / Superficie,2026-09-14
NE-5,BAMBARA_NUT_AREA_HA,2024/2025,6318.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Voandzou / Superficie,2026-09-14
NE-6,BAMBARA_NUT_AREA_HA,2024/2025,4724.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Voandzou / Superficie,2026-09-14
NE-7,BAMBARA_NUT_AREA_HA,2024/2025,2101.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Voandzou / Superficie,2026-09-14
NE-8,BAMBARA_NUT_AREA_HA,2024/2025,10.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Voandzou / Superficie,2026-09-14
_T,BAMBARA_NUT_AREA_HA,2024/2025,76184.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Voandzou / Superficie,2026-09-14
NE-2,BAMBARA_NUT_YIELD_KG_HA,2024/2025,370.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Voandzou / Rendement,2026-09-14
NE-3,BAMBARA_NUT_YIELD_KG_HA,2024/2025,680.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Voandzou / Rendement,2026-09-14
NE-4,BAMBARA_NUT_YIELD_KG_HA,2024/2025,647.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Voandzou / Rendement,2026-09-14
NE-5,BAMBARA_NUT_YIELD_KG_HA,2024/2025,588.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Voandzou / Rendement,2026-09-14
NE-6,BAMBARA_NUT_YIELD_KG_HA,2024/2025,618.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Voandzou / Rendement,2026-09-14
NE-7,BAMBARA_NUT_YIELD_KG_HA,2024/2025,657.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Voandzou / Rendement,2026-09-14
NE-8,BAMBARA_NUT_YIELD_KG_HA,2024/2025,700.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Voandzou / Rendement,2026-09-14
_T,BAMBARA_NUT_YIELD_KG_HA,2024/2025,664.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Voandzou / Rendement,2026-09-14
NE-2,BAMBARA_NUT_PROD_T,2024/2025,186.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Voandzou / Production,2026-09-14
NE-3,BAMBARA_NUT_PROD_T,2024/2025,39319.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Voandzou / Production,2026-09-14
NE-4,BAMBARA_NUT_PROD_T,2024/2025,3046.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Voandzou / Production,2026-09-14
NE-5,BAMBARA_NUT_PROD_T,2024/2025,3712.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Voandzou / Production,2026-09-14
NE-6,BAMBARA_NUT_PROD_T,2024/2025,2920.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Voandzou / Production,2026-09-14
NE-7,BAMBARA_NUT_PROD_T,2024/2025,1381.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Voandzou / Production,2026-09-14
NE-8,BAMBARA_NUT_PROD_T,2024/2025,7.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Voandzou / Production,2026-09-14
_T,BAMBARA_NUT_PROD_T,2024/2025,50571.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Voandzou / Production,2026-09-14
NE-1,SORREL_AREA_HA,2024/2025,208.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Oseille / Superficie,2026-09-14
NE-2,SORREL_AREA_HA,2024/2025,1722.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Oseille / Superficie,2026-09-14
NE-3,SORREL_AREA_HA,2024/2025,48302.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Oseille / Superficie,2026-09-14
NE-4,SORREL_AREA_HA,2024/2025,72869.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Oseille / Superficie,2026-09-14
NE-5,SORREL_AREA_HA,2024/2025,1356.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Oseille / Superficie,2026-09-14
NE-6,SORREL_AREA_HA,2024/2025,20360.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Oseille / Superficie,2026-09-14
NE-7,SORREL_AREA_HA,2024/2025,17346.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Oseille / Superficie,2026-09-14
NE-8,SORREL_AREA_HA,2024/2025,139.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Oseille / Superficie,2026-09-14
_T,SORREL_AREA_HA,2024/2025,162302.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Oseille / Superficie,2026-09-14
NE-1,SORREL_YIELD_KG_HA,2024/2025,635.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Oseille / Rendement,2026-09-14
NE-2,SORREL_YIELD_KG_HA,2024/2025,395.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Oseille / Rendement,2026-09-14
NE-3,SORREL_YIELD_KG_HA,2024/2025,658.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Oseille / Rendement,2026-09-14
NE-4,SORREL_YIELD_KG_HA,2024/2025,594.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Oseille / Rendement,2026-09-14
NE-5,SORREL_YIELD_KG_HA,2024/2025,523.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Oseille / Rendement,2026-09-14
NE-6,SORREL_YIELD_KG_HA,2024/2025,653.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Oseille / Rendement,2026-09-14
NE-7,SORREL_YIELD_KG_HA,2024/2025,496.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Oseille / Rendement,2026-09-14
NE-8,SORREL_YIELD_KG_HA,2024/2025,475.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Oseille / Rendement,2026-09-14
_T,SORREL_YIELD_KG_HA,2024/2025,607.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Oseille / Rendement,2026-09-14
NE-1,SORREL_PROD_T,2024/2025,132.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Oseille / Production,2026-09-14
NE-2,SORREL_PROD_T,2024/2025,680.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Oseille / Production,2026-09-14
NE-3,SORREL_PROD_T,2024/2025,31786.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Oseille / Production,2026-09-14
NE-4,SORREL_PROD_T,2024/2025,43250.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Oseille / Production,2026-09-14
NE-5,SORREL_PROD_T,2024/2025,709.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Oseille / Production,2026-09-14
NE-6,SORREL_PROD_T,2024/2025,13301.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Oseille / Production,2026-09-14
NE-7,SORREL_PROD_T,2024/2025,8595.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Oseille / Production,2026-09-14
NE-8,SORREL_PROD_T,2024/2025,66.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Oseille / Production,2026-09-14
_T,SORREL_PROD_T,2024/2025,98519.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Oseille / Production,2026-09-14
NE-1,OKRA_AREA_HA,2024/2025,217.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Gombo / Superficie,2026-09-14
NE-2,OKRA_AREA_HA,2024/2025,412.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Gombo / Superficie,2026-09-14
NE-3,OKRA_AREA_HA,2024/2025,1129.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Gombo / Superficie,2026-09-14
NE-4,OKRA_AREA_HA,2024/2025,2024.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Gombo / Superficie,2026-09-14
NE-5,OKRA_AREA_HA,2024/2025,11498.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Gombo / Superficie,2026-09-14
NE-6,OKRA_AREA_HA,2024/2025,10636.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Gombo / Superficie,2026-09-14
NE-7,OKRA_AREA_HA,2024/2025,80253.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Gombo / Superficie,2026-09-14
_T,OKRA_AREA_HA,2024/2025,106169.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Gombo / Superficie,2026-09-14
NE-1,OKRA_YIELD_KG_HA,2024/2025,1323.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Gombo / Rendement,2026-09-14
NE-2,OKRA_YIELD_KG_HA,2024/2025,748.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Gombo / Rendement,2026-09-14
NE-3,OKRA_YIELD_KG_HA,2024/2025,642.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Gombo / Rendement,2026-09-14
NE-4,OKRA_YIELD_KG_HA,2024/2025,680.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Gombo / Rendement,2026-09-14
NE-5,OKRA_YIELD_KG_HA,2024/2025,744.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Gombo / Rendement,2026-09-14
NE-6,OKRA_YIELD_KG_HA,2024/2025,694.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Gombo / Rendement,2026-09-14
NE-7,OKRA_YIELD_KG_HA,2024/2025,1731.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Gombo / Rendement,2026-09-14
_T,OKRA_YIELD_KG_HA,2024/2025,1484.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Gombo / Rendement,2026-09-14
NE-1,OKRA_PROD_T,2024/2025,287.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Gombo / Production,2026-09-14
NE-2,OKRA_PROD_T,2024/2025,308.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Gombo / Production,2026-09-14
NE-3,OKRA_PROD_T,2024/2025,725.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Gombo / Production,2026-09-14
NE-4,OKRA_PROD_T,2024/2025,1376.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Gombo / Production,2026-09-14
NE-5,OKRA_PROD_T,2024/2025,8550.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Gombo / Production,2026-09-14
NE-6,OKRA_PROD_T,2024/2025,7377.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Gombo / Production,2026-09-14
NE-7,OKRA_PROD_T,2024/2025,138917.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Gombo / Production,2026-09-14
_T,OKRA_PROD_T,2024/2025,157540.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Gombo / Production,2026-09-14
NE-1,ONION_AREA_HA,2024/2025,3389.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Oignon / Superficie,2026-09-14
NE-3,ONION_AREA_HA,2024/2025,404.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Oignon / Superficie,2026-09-14
NE-5,ONION_AREA_HA,2024/2025,512.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Oignon / Superficie,2026-09-14
NE-7,ONION_AREA_HA,2024/2025,237.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Oignon / Superficie,2026-09-14
_T,ONION_AREA_HA,2024/2025,4542.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Oignon / Superficie,2026-09-14
NE-1,ONION_YIELD_KG_HA,2024/2025,29218.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Oignon / Rendement,2026-09-14
NE-3,ONION_YIELD_KG_HA,2024/2025,27307.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Oignon / Rendement,2026-09-14
NE-5,ONION_YIELD_KG_HA,2024/2025,12229.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Oignon / Rendement,2026-09-14
NE-7,ONION_YIELD_KG_HA,2024/2025,24308.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Oignon / Rendement,2026-09-14
_T,ONION_YIELD_KG_HA,2024/2025,26877.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Oignon / Rendement,2026-09-14
NE-1,ONION_PROD_T,2024/2025,99020.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Oignon / Production,2026-09-14
NE-3,ONION_PROD_T,2024/2025,11032.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Oignon / Production,2026-09-14
NE-5,ONION_PROD_T,2024/2025,6261.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Oignon / Production,2026-09-14
NE-7,ONION_PROD_T,2024/2025,5761.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Oignon / Production,2026-09-14
_T,ONION_PROD_T,2024/2025,122074.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Oignon / Production,2026-09-14
NE-1,MORINGA_AREA_HA,2024/2025,560.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Moringa / Superficie,2026-09-14
NE-3,MORINGA_AREA_HA,2024/2025,1671.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Moringa / Superficie,2026-09-14
NE-4,MORINGA_AREA_HA,2024/2025,3163.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Moringa / Superficie,2026-09-14
NE-5,MORINGA_AREA_HA,2024/2025,165.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Moringa / Superficie,2026-09-14
NE-6,MORINGA_AREA_HA,2024/2025,4110.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Moringa / Superficie,2026-09-14
NE-7,MORINGA_AREA_HA,2024/2025,1702.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Moringa / Superficie,2026-09-14
NE-8,MORINGA_AREA_HA,2024/2025,326.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Moringa / Superficie,2026-09-14
_T,MORINGA_AREA_HA,2024/2025,11697.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Moringa / Superficie,2026-09-14
NE-1,MORINGA_YIELD_KG_HA,2024/2025,25541.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Moringa / Rendement,2026-09-14
NE-3,MORINGA_YIELD_KG_HA,2024/2025,24280.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Moringa / Rendement,2026-09-14
NE-4,MORINGA_YIELD_KG_HA,2024/2025,28031.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Moringa / Rendement,2026-09-14
NE-5,MORINGA_YIELD_KG_HA,2024/2025,25903.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Moringa / Rendement,2026-09-14
NE-6,MORINGA_YIELD_KG_HA,2024/2025,19181.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Moringa / Rendement,2026-09-14
NE-7,MORINGA_YIELD_KG_HA,2024/2025,15767.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Moringa / Rendement,2026-09-14
NE-8,MORINGA_YIELD_KG_HA,2024/2025,24316.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Moringa / Rendement,2026-09-14
_T,MORINGA_YIELD_KG_HA,2024/2025,22348.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Moringa / Rendement,2026-09-14
NE-1,MORINGA_PROD_T,2024/2025,14303.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Moringa / Production,2026-09-14
NE-3,MORINGA_PROD_T,2024/2025,40572.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Moringa / Production,2026-09-14
NE-4,MORINGA_PROD_T,2024/2025,88662.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Moringa / Production,2026-09-14
NE-5,MORINGA_PROD_T,2024/2025,4274.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Moringa / Production,2026-09-14
NE-6,MORINGA_PROD_T,2024/2025,78834.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Moringa / Production,2026-09-14
NE-7,MORINGA_PROD_T,2024/2025,26836.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Moringa / Production,2026-09-14
NE-8,MORINGA_PROD_T,2024/2025,7927.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Moringa / Production,2026-09-14
_T,MORINGA_PROD_T,2024/2025,261408.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Moringa / Production,2026-09-14
NE-1,CASSAVA_AREA_HA,2024/2025,17.0,ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Manioc / Superficie,2026-09-14
NE-2,CASSAVA_AREA_HA,2024/2025,5270.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Manioc / Superficie,2026-09-14
NE-3,CASSAVA_AREA_HA,2024/2025,1784.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Manioc / Superficie,2026-09-14
NE-4,CASSAVA_AREA_HA,2024/2025,1546.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Manioc / Superficie,2026-09-14
NE-5,CASSAVA_AREA_HA,2024/2025,1639.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Manioc / Superficie,2026-09-14
NE-6,CASSAVA_AREA_HA,2024/2025,1912.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Manioc / Superficie,2026-09-14
NE-7,CASSAVA_AREA_HA,2024/2025,7741.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Manioc / Superficie,2026-09-14
NE-8,CASSAVA_AREA_HA,2024/2025,83.0,ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Manioc / Superficie,2026-09-14
_T,CASSAVA_AREA_HA,2024/2025,19992.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Manioc / Superficie,2026-09-14
NE-1,CASSAVA_YIELD_KG_HA,2024/2025,18941.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Manioc / Rendement,2026-09-14
NE-2,CASSAVA_YIELD_KG_HA,2024/2025,30104.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Manioc / Rendement,2026-09-14
NE-3,CASSAVA_YIELD_KG_HA,2024/2025,21053.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Manioc / Rendement,2026-09-14
NE-4,CASSAVA_YIELD_KG_HA,2024/2025,23701.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Manioc / Rendement,2026-09-14
NE-5,CASSAVA_YIELD_KG_HA,2024/2025,34159.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Manioc / Rendement,2026-09-14
NE-6,CASSAVA_YIELD_KG_HA,2024/2025,23662.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Manioc / Rendement,2026-09-14
NE-7,CASSAVA_YIELD_KG_HA,2024/2025,33540.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Manioc / Rendement,2026-09-14
NE-8,CASSAVA_YIELD_KG_HA,2024/2025,26241.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Manioc / Rendement,2026-09-14
_T,CASSAVA_YIELD_KG_HA,2024/2025,29822.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Manioc / Rendement,2026-09-14
NE-1,CASSAVA_PROD_T,2024/2025,322.0,t,A,pdfplumber,bulletin_3T25.pdf,AGADEZ,Manioc / Production,2026-09-14
NE-2,CASSAVA_PROD_T,2024/2025,158648.0,t,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Manioc / Production,2026-09-14
NE-3,CASSAVA_PROD_T,2024/2025,37558.0,t,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Manioc / Production,2026-09-14
NE-4,CASSAVA_PROD_T,2024/2025,36641.0,t,A,pdfplumber,bulletin_3T25.pdf,MARADI,Manioc / Production,2026-09-14
NE-5,CASSAVA_PROD_T,2024/2025,55987.0,t,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Manioc / Production,2026-09-14
NE-6,CASSAVA_PROD_T,2024/2025,45241.0,t,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Manioc / Production,2026-09-14
NE-7,CASSAVA_PROD_T,2024/2025,259635.0,t,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Manioc / Production,2026-09-14
NE-8,CASSAVA_PROD_T,2024/2025,2178.0,t,A,pdfplumber,bulletin_3T25.pdf,NIAMEY.,Manioc / Production,2026-09-14
_T,CASSAVA_PROD_T,2024/2025,596210.0,t,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Manioc / Production,2026-09-14
NE-2,SWEET_POTATO_AREA_HA,2024/2025,2705.0,ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Patate douce / Superficie,2026-09-14
NE-3,SWEET_POTATO_AREA_HA,2024/2025,866.0,ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Patate douce / Superficie,2026-09-14
NE-4,SWEET_POTATO_AREA_HA,2024/2025,5816.0,ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Patate douce / Superficie,2026-09-14
NE-5,SWEET_POTATO_AREA_HA,2024/2025,206.0,ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Patate douce / Superficie,2026-09-14
NE-6,SWEET_POTATO_AREA_HA,2024/2025,1041.0,ha,A,pdfplumber,bulletin_3T25.pdf,TILLABERY,Patate douce / Superficie,2026-09-14
NE-7,SWEET_POTATO_AREA_HA,2024/2025,379.0,ha,A,pdfplumber,bulletin_3T25.pdf,ZINDER,Patate douce / Superficie,2026-09-14
_T,SWEET_POTATO_AREA_HA,2024/2025,11013.0,ha,A,pdfplumber,bulletin_3T25.pdf,ENSEMBLE,Patate douce / Superficie,2026-09-14
NE-2,SWEET_POTATO_YIELD_KG_HA,2024/2025,27804.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DIFFA,Patate douce / Rendement,2026-09-14
NE-3,SWEET_POTATO_YIELD_KG_HA,2024/2025,19035.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,DOSSO,Patate douce / Rendement,2026-09-14
NE-4,SWEET_POTATO_YIELD_KG_HA,2024/2025,17845.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,MARADI,Patate douce / Rendement,2026-09-14
NE-5,SWEET_POTATO_YIELD_KG_HA,2024/2025,30228.0,kg/ha,A,pdfplumber,bulletin_3T25.pdf,TAHOUA,Patate douce / Rendement,2026-09-14
